Discipline,Effect,Description,Original effect size
Cognitive Psychology,Bilingual executive control effect - Non-verbal task switching,"Bilingual advantages in executive control - Non-verbal task switching**. The idea that bilingual language switching on a daily basis makes bilinguals better at general non-verbal task switching, compared to monolinguals who do not perform this extensive daily language switching",NA.
Cognitive Psychology,Bilingual advantages in social communication -  Theory of mind,"Bilingual advantages - theory of mind. ** Bilingual children are more likely to score higher in Theory of Mind tasks than monolingual counterparts, using an unexpected transfer task",ηp2  = 0.06 [ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]. 
Cognitive Psychology,Bilingual advantages in social communication - perspective taking in referential communication,"Bilingual advantages - perspective taking in referential communication**. Bilingual children are more likely to score higher in Director tasks than monolingual counterparts, using the director task","bilingual vs. monolingual: d = 0.83, bilingual vs. monolingual exposed to other languages: d = 0.02. "
Cognitive Psychology,Exposure to another language advantage in social communication - Perspective taking in referential communication,"Exposure to another language in social communication - perspective taking in referential communication**.  Children who are exposed to a second language are more likely to score higher in Director tasks than children who are not exposed to a second language, using the director task",monolinguals exposed to other languages vs. monolingual: d = 0.74.
Cognitive Psychology,Bilingual disadvantages in creativity - Fluency,"Bilingual disadvantages in creativity- fluency.** Monolinguals are more likely to rapidly produce a large number of ideas or solutions to a problem than bilinguals, using the Torrance Test",not reported. 
Cognitive Psychology,Monolingual advantages in creativity - Flexibility,"Monolingual advantages in creativity  - Flexibility.** Monolinguals are more likely to consider a variety of approaches to a problem simultaneously than bilinguals, using the Torrance Test",Torrance et al.: d = 0.20 [d calculated from reported t statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]. 
Cognitive Psychology,Null bilingual advantages in creativity - Originality,"Null Bilingual advantages in creativity - Originality.**  There should be no difference between bilinguals and monolinguals in the tendency to produce ideas different from those of most other people, using the Torrance Test. ​",Torrance et al.: d = 0.03 [d calculated from reported t statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]. 
Cognitive Psychology,Null bilingual advantages in creativity - Elaboration,"There should be no difference between bilinguals and monolinguals in the tendency to think  through the details of an idea, using the Torrance Test",Torrance et al.: d = 0.06 [d calculated from reported t statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]. 
Cognitive Psychology,Mozart effect,Listening to Mozart’s sonata for two pianos in D major (KV 448) enhances performance on spatial tasks in standardised tests,"d= 1.5 [0.65, 2.35]."
Cognitive Psychology,Vivaldi effect,Increased cognitive performance after listening to musical excerpts composed by Vivaldi (similar to Mozart effect,"MSEdigit span scores = 0.50. MSEphonemic fluency = 42.14, d = 0.38 (calculated)."
Cognitive Psychology,Education enhances intelligence,"Education has a consistent positive effect on intelligence. A meta-analysis suggests that one additional year of education corresponds to a gain of approximately 1 to 5 IQ points (contingent on study design, inclusion of moderators, and publication-bias correction",NA.
Cognitive Psychology,Automatic imitation,"The observation of the topographical features of an action facilitates the execution of a similar action in the observer. Humans are prone to automatically imitate others. Automatic imitation differs from spatial compatibility effects and provides an important tool for the investigation of the mirror neuron system, motor mimicry, and complex forms of imitation",N/A.
Cognitive Psychology,Congruency sequence effect,conflict adaptation or Gratton effect). A cognitive phenomenon in which the processing of stimuli is affected by the stimuli that preceded it e.g. congruency effects are smaller following incongruent trials rather than congruent trials,"Greatest facilitation in Non-shift-Expected-Related word X target condition and greatest inhibition effects in Shift-Unexpected-Unrelated and Nonshift-Unexpected-Unrelated conditions; η2 = 0.689 (calculated from the reported F(4, 84) = 46.85, using this conversion)."
Cognitive Psychology,Action-sentence Compatibility Effect,"ACE). **Participants’ movements are faster when the direction of the described action (e.g., Mark dealt the cards to you) matches the response direction (e.g., toward",Experiment 1: ηp2= 0.186 [calculated]. Experiment 2A: ηp2 = 0.051 [calculated].
Cognitive Psychology,The attentional spatial-numerical association of response codes (Att-SNARC) effect,The **attentional spatial-numerical association of response codes (Att-SNARC) effect. **The finding that participants had quicker detects to left-side targets preceded by small numbers and to the right-side targets preceded by large numbers. This finding triggered many assumptions about the number representations grounded in body experience,NA.
Cognitive Psychology,Scarcity effect - Attention,"Scarcity effect - _Attention_. **Having too little resources leads individuals to misallocate attention, leading to consequences such as overborrowing. Study 1 examined whether scarcity causes greater cognitive fatigue, measured by poorer performance on a cognitive ability task.​",r = .267.
Cognitive Psychology,Scarcity effect - Meaning in life,"Scarcity effect - _Meaning in life_**. Threats to people’s sense that they can afford things that they need in the present and foreseeable future, undermines perceptions of meaning in life.​",r = .180​.
Cognitive Psychology,Scarcity effect - Discounting,Scarcity effect - _Discounting_**. A negative income shock was associated with increased discounting rates for gains and loses.​,r =  .480.
