Discipline,Effect,Description,Replication effect size
Judgement and Decision Making/Behavioural Economics,Functional communication training,"FCT) is a therapy for autistic children, or children with severe behaviour problems. FCT aims to replace challenging behaviour with new methods of communication","Tiger et al.: not reported. Ghaemmaghami et al.: not reported. Muharib et al.: FCT using contingency based delays is effective for autistic individuals (LRRd=−2.17 [−2.76, −1.58]) when compared with ASD plus other diagnoses (LRRd=−2.14 [−2.80, −1.50]) and no diagnosis (LRRd=−1.95 [−3.55, −0.35]). Positive reinforcement-based contingencies had the greatest effect size (LRRd=−2.30 [−2.83, −1.78]), followed by contingencies that included both positive and negative reinforcement (LRRd=−2.21 [−2.86, −1.55]). The negative reinforcement based subcategory resulted in the smallest effect size (LRRd=−1.74 [−2.59, −0.89]), but still presented favorably. DRA-based delays were overall more effective and presented with a smaller standard error (LRRd=−2.13 [−2.72, −1.55]) when compared with DRObased delays (LRRd=−1.24 [−3.84, 1.37]. RST using contingency based delays are effective irrespective of age and appear to be most effective when targeting elopement (LRRd=−1.84 [−3.47, −0.21]) and aggression (LRRd=−1.21 [−2.33, −0.08]) as a topography of challenging behavior. Furthermore, our findings show that the most effective intervention dosage is three to five days per week (LRRd=−1.87 [−2.57, −1.18]) compared with 1–2 days per week (LRRd=−0.82 [−5.11, 3.48]). MacNaul, & Neely: replication effect size: Adelinis et al.: Tau-U = 1 (large) [0.559, 1]. Athens, & Vollmer: Tau-U for combined parameters condition = 0.8401 (medium) [0.578, 1]. Davis et al.: Tau-U = 1 (large) [0.709, 1]. Ingvarsson et al.: HD NCR: Tau-U = 0.8119 (medium) [0.412, 1], HD NCR: Tau-U = 0.8413 (medium) [0.348, 1]. Kahng et al.: FCT single: Tau-U = 0.0496 (small) [−0.364, 0.464], FCT multiple: Tau-U = 1 (large) [0.606, 1]. Kelley et al.: Without EXT: Tau-U = 0.4006 (small) [0.167, 0.635], With EXT: Tau-U = 0.7054 (medium) [0.190, 1]. Kunnavatana et al.: Duration: Tau-U = 0.9710 (large) [0.543, 1], Quality: Tau-U = 1 (large) [0.480, 1]. Marcus, & Vollmer: NCR + DRA: Tau-U = 0.9627 (large) [00.495, 1], DRO: Tau-U = −1 (small) [−1, –0.343], NCR: Tau-U = 0.828 (medium) [0.487, 1]. Roane et al.: DRA: Tau-U = 1 (large) [0.288, 1], DRA + NCT with alternative. response restriction: Tau-U = 0.3704 (small) [−0.087, 0.827]. Slocum & Vollmer: SR+: Tau-U = 0.7871 (medium) [0.627, 0.948], SR–: Tau-U = 0.2106 (small) [0.050, 0.372]."
Judgement and Decision Making/Behavioural Economics,Schedules of R+,Rule that describes how often the occurrence of a behaviour will receive a reinforcement. Used as part of ABA (Applied Behaviour Analysis) in autistic individuals,"Esch et al: not reported. Glodowski et al.: Not reported. Muharib et al.:  The aggregated Tau-U for challenging behavior was 0.54 [0.47, 0.60], _p_ &lt; 0.001, with Tau-U ranging from 0.01 to 1.00; the aggregated Tau-U for appropriate communicative behaviors was 0.64 [0.58, 0.70], _p_ &lt; 0.001, with Tau-U ranging from 0.12 to 1.00."
Judgement and Decision Making/Behavioural Economics,Above-Average Effect,Better-Than-Average Effect). People have the tendency to perceive themselves as superior in comparison to the average peer,"Zell et al.: _dz_ = 0.78 [0.71, 0.84]. Ziano et al.: For the trait desirability effect, _sr2_ = .54 [.43, .65]; for the effect of desirability being stronger for more controllable traits, _sr2_ = .07 [.02, .12]. Korbmacher et al.: Own ability & comparative ability _r = _.99_, _Domain difficulty and comparative ability_ r_= -.85; Easy domains: from _d_ = 0.54 to _d_ = 1.18, Difficult domains: from _d_ =0.11 (non-sig) to _d_ = -0.65)."
Judgement and Decision Making/Behavioural Economics,Below-Average Effect,The tendency of a person to underestimate their intellectual or social abilities when comparing to other people,"Eriksson and Funke: Study 1: ES not reported, but comparison of above-ingroup measures with zero levels show that Democrats exhibited a statistically significant below-average effect on warmth and a null effect on competence; Republicans, on the other hand, exhibited a significant above-average effect on warmth and a null effect on competence; Study 2: ES not reported, but Democrats exhibited a statistically significant below-average effect on warmth (but no significant effect on competence); Republicans, on the other hand, exhibited significant below-average effect on competence (but no significant effect on warmth). Windschitl et al.: not reported.​ Korbmacher et al.: Own ability & comparative ability _r = _.99_, _Domain difficulty and comparative ability_ r_= -.85; Easy domains: from _d_ = 0.54 to _d_ = 1.18, Difficult domains: from _d_ =0.11 (non-sig) to _d_ = -0.65)."
Judgement and Decision Making/Behavioural Economics,Overconfidence,"“unskilled and unaware of it” effect, overplacement, overprecision, calibration of subjective probabilities, realism of confidence). It is the overestimation of one’s actual ability, performance, level of control, or chance of success in any given situation","Gigerenzer et al.: Experiment 1 – correct was 52.9, mean confidence was 66.7, and overconfidence was 13.8; Experiment 2 – In the selected set, mean confidence was 71.6%, and percentage correct was 56.2, overconfidence 15.4; in the representative set, overconfidence largely disappeared (2.8%), mean confidence was 78.1% and percentage correct was 75.3%. Dawes and Mulford: ES not reported; regression effects account for the evidence cited in support of overconfidence. Klayman et al.: Experiment 1 – overconfidence between -.073 and +.130 on forty questions, mean overconfidence +.046; Experiment 2 –  July temperatures +.150, State poverty levels  -.014, Mountain heights  -.115, State populations +.023, Shampoo prices -.025, Presidential sequence +.008; Experiment 3 – With confidence-range questions, overconfidence is large, on the order of 45%; differences between domains and between individuals are strong as well. Olson: ES not reported; methodological and statistical artefacts can explain many of the observed instances of apparent overconfidence.  "
Judgement and Decision Making/Behavioural Economics,Better-than-average effect,People tend to rate themselves as better than average on desirable traits and skills.​,"Koppel et al.: Hedges’s _g_ = 1.18 to Hedges’s _g_ = 1.70. Zell et al.: robust across studies (_dz_ = 0.78 [0.71, 0.84]), with little evidence of publication bias."
Judgement and Decision Making/Behavioural Economics,Accuracy of information,truth discernment)**. **Asking people to think about the accuracy of a single headline improves “truth discernment” of intentions to share news headlines about COVID-19.​,"Roozenbeek et al. : Study 1: _F_ = 1.53; Study 2: treatment: _d_ = −0.14 [−0.17, −0.12], control: _d_ = −0.10 [−0.13, −0.078]."
Judgement and Decision Making/Behavioural Economics,Resultant moral luck,The phenomenon of moral judgments being influenced by factors beyond the agent’s control that affect the outcome of their actions. Kneer and Machery (2019) claim that there is no evidence for resultant moral luck and that the puzzle of moral luck is not a genuine problem.​,"Laves: NA; Laves argues that Kneer and Machery’s experiments do not dissolve the puzzle of moral luck, but rather show that people have inconsistent intuitions about moral luck depending on the context and framing of the scenarios; he also questions the validity and reliability of the measures used by Kneer and Machery, and suggests that their results are influenced by confounding factors such as moral emotions, causal responsibility, and moral principles. No replication studies conducted as of January 2023. ​"
Judgement and Decision Making/Behavioural Economics,Incidental disgust,Amplification hypothesis). Irrelevant feelings of disgust can amplify the severity of moral condemnation,"Eskine et al.: Regression slope coefficient of physical disgust measure on moral judgement = 0.525, _t_(52) = 4.445, _p_ &lt; .001. Ghelfi et al.: Linear mixed effects regression slope coefficient of standardised disgust ratings on standardised moral-wrongness judgments = 0.07, _p_ = .014.​ Landy and Goodwin: effects of disgust induction in different sensory modalities on moral judgements - _d_=-0.38 to _d_=1.44, weighted mean of the effect sizes across 51 studies _d_=0.11. Chapman et al.: Increasing disgust with increasing offer unfairness [_ηp_²=0.324, calculated from the reported _F_(1,135) = 64.8, _p_ &lt; 0.001, using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]."
Judgement and Decision Making/Behavioural Economics,Single exposure musical conditioning,"Single-exposure musical conditioning**. An important study, which employed classical conditioning theory, proposed that a person's preference for a product can be influenced by the type of music they hear while being exposed to it. A follow-up experiment differentiated between scenarios to see whether classical conditioning or information processing might be a better explanation for product preference",
Judgement and Decision Making/Behavioural Economics,Rational expectations,Rational Expectations. **The extent to which participants in an experiment choose the action with the highest expected payoff based on their private signal and the choices and outcomes of previous participants,"Ziegelmeyer et al.: Where the empirical payoff for contradicting one's own signal is greater than 1/2, the relative frequency of optimal choice is 0.60 (partly replicated, participants are moderately successful in learning from others); where the empirical payoff for contradicting one's own signal is lower than 1/2, the optimal choice occurs with a relative frequency of 0.92 (replicated)."
Judgement and Decision Making/Behavioural Economics,Decreased sense of free will reduces personal responsibility,"Vohs and Schooler (2008) asked participants to read an article either debunking free will or a control passage, and found that those reading the former cheated more on an experimental task. It was suggested that the decreased sense of free will as a result of reading the text reduced perceptions of personal responsibility","Buttrick et al.: no differences in cheating behaviour using a more rigorous measurement approach, _d_ = 0.076 [−0.082, 0.22]. Embley et al.: no differences in cheating behaviour between the two experimental conditions, _d_ = 0.20 [−0.33, 0.74], _p_ = .44. "
Judgement and Decision Making/Behavioural Economics,Unrealistic optimism,Optimism bias). The tendency to overestimate the likelihood of experiencing positive outcomes and underestimating negative ones.​,"Klein and Helweg-Larsen: Overall effect size: _d_ = 0.64 [0.60, 0.68] (replicated); Some of the moderators reported found that: Larger in student samples (_d_ = 0.94 [0.87, 1.02]) than non-students (_d_ = 0.50 [0.45, 0.55]), The US showed larger effects (_d_ = 1.23 [1.16, 1.13]) than elsewhere (_d_ = 0.36 [0.31, 0.41]). Maksim et al.: Experiment 1: _d_ = 0.34 (replicated), Experiment 2: _d_ = 0.37 (replicated). Shepperd et al.: Experiment 1: Students asked to predict their likely starting salary post-graduation; Beginning of semester: Sophomores: _d_ = 1.26 [0.78, 1.73] (estimated from test-statistic: _t_(30) = 6.91, _p_ &lt; .001) (replicated), Juniors: _d _= 1.20 [0.63, 1.75] (estimated from test-statistic: _t_(21) = 5.50, _p_ &lt; .001) (replicated), Seniors: _d_ = 0.53 [0.13, 0.93] (estimated from test-statistic: _t_(28) = 2.83, _p_ = .004) (replicated); Two weeks prior to graduation: Sophomores: _d_ = 1.02 [0.57, 1.45] (estimated from test-statistic: _t_(30) = 5.57, _p_ &lt; .001) (replicated), Juniors: _d _= 0.86 [0.35, 1.35] (estimated from test-statistic: _t_(21) = 3.95, _p_ &lt; .001) (replicated), Seniors: _d_ = 0.28 [-0.10, 0.65] (estimated from test-statistic: _t_(28) = 1.48, _p_ = .075) (not replicated); Experiment 2: Students asked to predict their exam score; Students overestimated their test score 1-month prior to the examination: _d_ = 0.63 (estimated from test-statistic: _t_(88) = 5.91, _p_ &lt; .001) (replicated), Students underestimated their test score 3 seconds before scores were released: _d_ = 0.16 [-0.01, 0.32] (estimated from test-statistic: _t_(145) = 1.87, _p_ = .016 (one-tailed) (opposite direction)."
